model,lens,hs,j,energy,model_kl
llama8b,lora_is,16,15,0.66515,0.002371
llama8b,random,20,0,,0.001948
llama8b,random,20,1,,0.002906
llama8b,random,20,2,,0.001212
llama8b,random,20,3,,0.001741
llama8b,random,20,4,,0.00079
llama8b,random,20,5,,0.001135
llama8b,random,20,6,,0.002813
llama8b,random,20,7,,0.003253
llama8b,random,20,8,,0.001037
llama8b,random,20,9,,0.000722
llama8b,random,20,10,,0.001796
llama8b,random,20,11,,0.0007
llama8b,random,20,12,,0.001831
llama8b,random,20,13,,0.000853
llama8b,random,20,14,,0.000819
llama8b,random,20,15,,0.002683
llama8b,logit,20,0,22.185596,1.480439
llama8b,logit,20,1,8.654802,2.637721
llama8b,logit,20,2,5.691427,0.138518
llama8b,logit,20,3,4.241024,0.031075
llama8b,logit,20,4,1.769836,0.522276
llama8b,logit,20,5,1.674148,0.012197
llama8b,logit,20,6,1.530589,0.005341
llama8b,logit,20,7,1.436931,0.01503
llama8b,logit,20,8,1.197644,0.003888
llama8b,logit,20,9,1.106455,0.229517
llama8b,logit,20,10,1.083559,0.152471
llama8b,logit,20,11,0.964382,0.002056
llama8b,logit,20,12,0.827213,0.07441
llama8b,logit,20,13,0.744226,0.016099
llama8b,logit,20,14,0.661406,0.005989
llama8b,logit,20,15,0.47955,0.002163
llama8b,tuned,20,0,6.471169,0.979257
llama8b,tuned,20,1,5.995673,2.64646
llama8b,tuned,20,2,2.887957,0.205788
llama8b,tuned,20,3,2.824739,0.007159
llama8b,tuned,20,4,2.318644,0.082769
llama8b,tuned,20,5,1.558431,0.042116
llama8b,tuned,20,6,1.417902,0.170454
llama8b,tuned,20,7,1.178471,0.135686
llama8b,tuned,20,8,1.117818,0.043854
llama8b,tuned,20,9,1.000718,0.019648
llama8b,tuned,20,10,0.896113,0.006197
llama8b,tuned,20,11,0.877824,0.015879
llama8b,tuned,20,12,0.821551,0.008526
llama8b,tuned,20,13,0.737979,0.006616
llama8b,tuned,20,14,0.707859,0.085963
llama8b,tuned,20,15,0.702556,0.05848
llama8b,lora_topk,20,0,9.068852,1.949855
llama8b,lora_topk,20,1,6.683746,1.292742
llama8b,lora_topk,20,2,2.366868,1.01924
llama8b,lora_topk,20,3,1.827131,0.073977
llama8b,lora_topk,20,4,1.494957,0.071475
llama8b,lora_topk,20,5,1.451956,0.008945
llama8b,lora_topk,20,6,0.964074,0.020697
llama8b,lora_topk,20,7,0.830134,0.018157
llama8b,lora_topk,20,8,0.78461,0.004765
llama8b,lora_topk,20,9,0.710932,0.014329
llama8b,lora_topk,20,10,0.696221,0.094502
llama8b,lora_topk,20,11,0.657696,0.386515
llama8b,lora_topk,20,12,0.535769,0.007375
llama8b,lora_topk,20,13,0.523643,0.023053
llama8b,lora_topk,20,14,0.481373,0.082264
llama8b,lora_topk,20,15,0.292786,0.005031
llama8b,lora_is,20,0,13.705741,1.404647
llama8b,lora_is,20,1,11.62536,1.249442
llama8b,lora_is,20,2,3.926146,0.092276
