variant,family,rank,layer,kl
truncated_r384,truncated,384,5,1.716892
truncated_r384,truncated,384,6,0.830514
truncated_r384,truncated,384,7,0.657648
truncated_r384,truncated,384,8,0.446558
truncated_r384,truncated,384,9,0.324779
truncated_r384,truncated,384,10,0.182563
truncated_r384,truncated,384,11,0.078511
random_r384,random,384,0,9.174090
random_r384,random,384,1,5.013259
random_r384,random,384,2,4.936079
random_r384,random,384,3,4.265954
random_r384,random,384,4,4.174636
random_r384,random,384,5,3.910811
random_r384,random,384,6,2.260856
random_r384,random,384,7,2.524366
random_r384,random,384,8,1.527101
random_r384,random,384,9,1.530795
random_r384,random,384,10,1.162768
random_r384,random,384,11,0.893638
trained_r384,trained,384,0,3.014911
trained_r384,trained,384,1,2.104599
trained_r384,trained,384,2,1.984359
trained_r384,trained,384,3,1.837362
trained_r384,trained,384,4,1.723063
trained_r384,trained,384,5,1.674653
trained_r384,trained,384,6,0.797365
trained_r384,trained,384,7,0.631262
trained_r384,trained,384,8,0.431101
trained_r384,trained,384,9,0.316488
trained_r384,trained,384,10,0.176303
trained_r384,trained,384,11,0.065272
