variant,family,rank,layer,kl
random_r128,random,128,4,5.648650
random_r128,random,128,5,5.938959
random_r128,random,128,6,4.561685
random_r128,random,128,7,4.269251
random_r128,random,128,8,3.512158
random_r128,random,128,9,2.986278
random_r128,random,128,10,2.385117
random_r128,random,128,11,1.400572
trained_r128,trained,128,0,4.031098
trained_r128,trained,128,1,3.196079
trained_r128,trained,128,2,2.993749
trained_r128,trained,128,3,2.829294
trained_r128,trained,128,4,2.668560
trained_r128,trained,128,5,2.559176
trained_r128,trained,128,6,1.902264
trained_r128,trained,128,7,1.575433
trained_r128,trained,128,8,1.136795
trained_r128,trained,128,9,0.779872
trained_r128,trained,128,10,0.404215
trained_r128,trained,128,11,0.148809
truncated_r256,truncated,256,0,4.127488
truncated_r256,truncated,256,1,3.188895
truncated_r256,truncated,256,2,2.949731
truncated_r256,truncated,256,3,2.796614
truncated_r256,truncated,256,4,2.642233
truncated_r256,truncated,256,5,2.565173
truncated_r256,truncated,256,6,1.893479
truncated_r256,truncated,256,7,1.558437
truncated_r256,truncated,256,8,1.125410
truncated_r256,truncated,256,9,0.775725
truncated_r256,truncated,256,10,0.400726
truncated_r256,truncated,256,11,0.166391
random_r256,random,256,0,14.488238
random_r256,random,256,1,5.810755
random_r256,random,256,2,5.143062
random_r256,random,256,3,5.299247
random_r256,random,256,4,4.694666
random_r256,random,256,5,5.128031
random_r256,random,256,6,4.179160
random_r256,random,256,7,3.377628
random_r256,random,256,8,2.808115
random_r256,random,256,9,2.300572
random_r256,random,256,10,2.035132
random_r256,random,256,11,1.342637
trained_r256,trained,256,0,3.905810
trained_r256,trained,256,1,3.141607
trained_r256,trained,256,2,2.947575
trained_r256,trained,256,3,2.794890
trained_r256,trained,256,4,2.651869
trained_r256,trained,256,5,2.537576
trained_r256,trained,256,6,1.848007
trained_r256,trained,256,7,1.530279
trained_r256,trained,256,8,1.097812
trained_r256,trained,256,9,0.763387
trained_r256,trained,256,10,0.390583
trained_r256,trained,256,11,0.143894
truncated_r384,truncated,384,0,4.114152
truncated_r384,truncated,384,1,3.119171
truncated_r384,truncated,384,2,2.896643
truncated_r384,truncated,384,3,2.742623
truncated_r384,truncated,384,4,2.594317
truncated_r384,truncated,384,5,2.506935
truncated_r384,truncated,384,6,1.840421
truncated_r384,truncated,384,7,1.511064
truncated_r384,truncated,384,8,1.086235
truncated_r384,truncated,384,9,0.752087
truncated_r384,truncated,384,10,0.383893
truncated_r384,truncated,384,11,0.159458
random_r384,random,384,0,9.641285
random_r384,random,384,1,5.135183
random_r384,random,384,2,5.278539
random_r384,random,384,3,4.639584
random_r384,random,384,4,4.484242
random_r384,random,384,5,4.276444
random_r384,random,384,6,3.292319
random_r384,random,384,7,3.010212
random_r384,random,384,8,2.345787
random_r384,random,384,9,1.869141
random_r384,random,384,10,1.624861
random_r384,random,384,11,0.922928
trained_r384,trained,384,0,3.881205
trained_r384,trained,384,1,3.133778
trained_r384,trained,384,2,2.921330
trained_r384,trained,384,3,2.772166
trained_r384,trained,384,4,2.609907
trained_r384,trained,384,5,2.503648
trained_r384,trained,384,6,1.806680
trained_r384,trained,384,7,1.491038
trained_r384,trained,384,8,1.071897
trained_r384,trained,384,9,0.743048
trained_r384,trained,384,10,0.379148
trained_r384,trained,384,11,0.137747
