model,ds,tau,chooser,pick,causal_best,nL,gain_pct,P_at_pick,P_obs,KL_at_pick,top1keep,eff,null
LLaMA-3-8B,2wmh,1.0,heuristic(last),31,31,32,99.99999999999999,0.05630198,0.012545985607050994,1.294925,0.555,0.03379036962986196,False
LLaMA-3-8B,2wmh,1.0,lens:logit,31,31,32,99.99999999999999,0.05630198,0.012545985607050994,1.294925,0.555,0.03379036962986196,False
LLaMA-3-8B,2wmh,1.0,lens:is_parity250,19,31,32,79.63808131067015,0.04739242,0.012545985607050994,1.148601,0.59,0.03033815432247491,False
LLaMA-3-8B,2wmh,1.0,lens:topk_parity250,31,31,32,99.99999999999999,0.05630198,0.012545985607050994,1.294925,0.555,0.03379036962986196,False
LLaMA-3-8B,2wmh,1.0,lens:tuned_parity250,22,31,32,94.99695977574957,0.05411285,0.012545985607050994,1.175845,0.575,0.035350632432802793,False
LLaMA-3-8B,2wmh,2.0,oracle(argmaxE),19,19,32,100.0,0.07186311,0.012545985607050994,2.478623,0.35,0.023931483082723352,False
LLaMA-3-8B,2wmh,2.0,heuristic(last),31,19,32,82.25847913616839,0.06133935,0.012545985607050994,3.821047,0.235,0.012769632091138634,False
LLaMA-3-8B,2wmh,2.0,lens:logit,31,19,32,82.25847913616839,0.06133935,0.012545985607050994,3.821047,0.235,0.012769632091138634,False
LLaMA-3-8B,2wmh,2.0,lens:is_parity250,19,19,32,100.0,0.07186311,0.012545985607050994,2.478623,0.35,0.023931483082723352,False
LLaMA-3-8B,2wmh,2.0,lens:topk_parity250,31,19,32,82.25847913616839,0.06133935,0.012545985607050994,3.821047,0.235,0.012769632091138634,False
LLaMA-3-8B,2wmh,2.0,lens:tuned_parity250,22,19,32,77.13348356176836,0.05829935,0.012545985607050994,2.630136,0.295,0.017395816943667174,False
LLaMA-3-8B,2wmh,4.0,oracle(argmaxE),17,17,32,100.0,0.08283557,0.012545985607050994,3.902692,0.115,0.018010538467537026,False
LLaMA-3-8B,2wmh,4.0,heuristic(last),31,17,32,34.20257012554,0.03658683,0.012545985607050994,7.406165,0.05,0.0032460584381996628,False
